;ug;loc;da;ti;tf;tm
303;Paraíba;Total;Total;6,0;5,2;7,3
304;Paraíba;Urbana;Total;6,1;5,2;7,3
305;Paraíba;Rural;Total;5,3;5,3;6,2
306;Paraíba;Total;Federal;4,0;4,1;9,6
307;Paraíba;Urbana;Federal;4,0;4,1;9,6
308;Paraíba;Rural;Federal;;;10,3
309;Paraíba;Total;Estadual;5,4;5,4;7,4
310;Paraíba;Urbana;Estadual;4,2;5,5;7,5
311;Paraíba;Rural;Estadual;5,8;5,2;6,0
312;Paraíba;Total;Municipal;6,6;5,4;3,9
313;Paraíba;Urbana;Municipal;7,0;5,4;3,6
314;Paraíba;Rural;Municipal;5,3;5,3;4,8
315;Paraíba;Total;Privada;4,2;4,4;5,4
316;Paraíba;Urbana;Privada;4,2;4,4;5,4
317;Paraíba;Rural;Privada;4,6;4,3;
318;Paraíba;Total;Pública;6,6;5,4;7,6
319;Paraíba;Urbana;Pública;7,0;5,4;7,6
320;Paraíba;Rural;Pública;5,3;5,3;6,2
321;Pernambuco;Total;Total;5,2;4,9;7,7
322;Pernambuco;Urbana;Total;5,3;4,9;7,8
323;Pernambuco;Rural;Total;4,9;4,7;6,5
324;Pernambuco;Total;Federal;;5,3;6,1
325;Pernambuco;Urbana;Federal;;5,3;5,6
326;Pernambuco;Rural;Federal;;;8,0
327;Pernambuco;Total;Estadual;5,3;5,5;8,0
328;Pernambuco;Urbana;Estadual;7,3;5,6;8,1
329;Pernambuco;Rural;Estadual;5,0;5,0;6,4
330;Pernambuco;Total;Municipal;5,4;4,9;3,5
331;Pernambuco;Urbana;Municipal;5,7;5,0;
332;Pernambuco;Rural;Municipal;4,7;4,7;3,5
333;Pernambuco;Total;Privada;4,8;4,5;5,7
334;Pernambuco;Urbana;Privada;4,7;4,5;5,7
335;Pernambuco;Rural;Privada;8,3;4,6;5,9
336;Pernambuco;Total;Pública;5,4;5,0;7,9
337;Pernambuco;Urbana;Pública;5,7;5,1;8,0
338;Pernambuco;Rural;Pública;4,7;4,7;6,5
339;Alagoas;Total;Total;5,9;5,3;6,9
340;Alagoas;Urbana;Total;5,9;5,2;6,9
